Variable_micro_RENAMU,Label,Tipo,N_unicos,Valores,Bloque_tematico,Agregacion_sugerida,Macro_objetivo_ejemplo
idmunici,Código Único de la Municipalidad,character,1874,,Otros/Metadatos,Revisar manualmente,meta_identificadores
ccdd,Código del Departamento,character,25,,Otros/Metadatos,Revisar manualmente,meta_identificadores
ccpp,Código de la Provincia,character,20,,Otros/Metadatos,Revisar manualmente,meta_identificadores
ccdi,Código del Distrito,character,43,,Otros/Metadatos,Revisar manualmente,meta_identificadores
Departamento,Nombre del Departamento,character,25,,Otros/Metadatos,Revisar manualmente,meta_identificadores
Provincia,Nombre de la Provincia,character,198,,Otros/Metadatos,Revisar manualmente,meta_identificadores
Distrito,Nombre del Distrito,character,1732,,Otros/Metadatos,Revisar manualmente,meta_identificadores
catmuni,Categoría de la Municipalidad,haven_labelled,2,Provincial = 1; Distrital = 2; Centro Poblado = 3,Otros/Metadatos,Categoría ordinal/nominal → one-hot o score ordinal,meta_identificadores
year,Año de la encuesta,numeric,5,,Otros/Metadatos,Suma/Media + normalización per cápita o por presupuesto,meta_identificadores
direc_muni,¿Municipalidad informó?,haven_labelled,2,No informó = 0; Informó = 1,Otros/Metadatos,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,meta_identificadores
nomalcalde,Nombres y apellidos del alcalde,character,3995,,Otros/Metadatos,Revisar manualmente,meta_identificadores
sexo,Alcalde de la municipalidad / sexo,haven_labelled,2,Hombre = 1; Mujer = 2,Otros/Metadatos,Categoría ordinal/nominal → one-hot o score ordinal,meta_identificadores
facebook,Facebook de la municipalidad,haven_labelled,2,No = 0; Sí = 1,Otros/Metadatos,Categoría ordinal/nominal → one-hot o score ordinal,meta_identificadores
web,Página web de la municipalidad,haven_labelled,2,No = 0; Sí = 1,Otros/Metadatos,Categoría ordinal/nominal → one-hot o score ordinal,meta_identificadores
propie_muni,¿Municipalidad Informó?,haven_labelled,1,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
locales_propios,Número de locales / Propios,numeric,83,,Otros/Metadatos,"Suma/Total + tasa per cápita (por 1,000 hab.)",meta_identificadores
locales_alquilados,Número de locales / Alquilados,numeric,24,,Otros/Metadatos,"Suma/Total + tasa per cápita (por 1,000 hab.)",meta_identificadores
locales_cedidos,Número de locales / Cedidos,numeric,33,,Otros/Metadatos,"Suma/Total + tasa per cápita (por 1,000 hab.)",meta_identificadores
maqpes_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
maqpes_muni_1a,Número de bienes / Excavadora / Operativos,numeric,6,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_1b,Número de bienes / Excavadora / No operativos,numeric,4,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_2a,Número de bienes / Retroexcavadora / Operativos,numeric,9,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_2b,Número de bienes / Retroexcavadora / No operativos,numeric,5,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_3a,Número de bienes / Motoniveladora / Operativos,numeric,11,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_3b,Número de bienes / Motoniveladora / No operativos,numeric,6,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_4a,Número de bienes / Cargador frontal / Operativos,numeric,14,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_4b,Número de bienes / Cargador frontal / No operativos,numeric,7,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_5a,Número de bienes / Tractor oruga / Operativos,numeric,12,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_5b,Número de bienes / Tractor oruga / No operativos,numeric,10,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_6a,Número de bienes / Tractor agrícola / Operativos,numeric,19,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_6b,Número de bienes / Tractor agrícola / No operativos,numeric,13,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_8a,Número de bienes / Compactadora de suelo / Operativos,numeric,24,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_8b,Número de bienes / Compactadora de suelo / No operativos,numeric,13,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_9a,Número de bienes / Otra maquinaria pesada / Operativos,numeric,13,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
maqpes_muni_9b,Número de bienes / Otra maquinaria pesada / No operativos,numeric,7,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,Recursos Físicos y Tecnología,Dummy (0/1) + Conteo por bloque + % sobre total dummies del bloque,agg_equipamiento_municipal
muepeq_muni_1a,Número de bienes / Auto y/o camioneta / Operativos,numeric,100,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_1b,Número de bienes / Auto y/o camioneta / No operativos,numeric,40,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_4a,Número de bienes / Volquete / Operativos,numeric,24,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_4b,Número de bienes / Volquete / No operativos,numeric,14,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_5a,Número de bienes / Camión recolector de basura / Operativos,numeric,32,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_5b,Número de bienes / Camión recolector de basura / No operativos,numeric,21,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_6a,Número de bienes / Camión cisterna / Operativos,numeric,15,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_6b,Número de bienes / Camión cisterna / No operativos,numeric,11,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
muepeq_muni_7a,Número de bienes / Camión / Operativos,numeric,32,,Recursos Físicos y Tecnología,Suma por familia + Ratio operativos/(operativos+no operativos),agg_bienes_total_y_ratio_operativos
